epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
165,10906.7,1.0002,0.62853,1.15202,0.9694,0.97301,0.98883,0.65137,1.31403,0.49206,1.45034,0.004588,0.004588,0.004588
166,10972.6,1.00425,0.61436,1.14901,0.97832,0.97611,0.98919,0.6503,1.3141,0.48565,1.45389,0.004555,0.004555,0.004555
167,11039,0.99376,0.61465,1.1483,0.97277,0.9754,0.98955,0.65384,1.31547,0.48344,1.45556,0.004522,0.004522,0.004522
168,11104.7,1.00213,0.62887,1.14889,0.96798,0.97611,0.99058,0.65494,1.31573,0.4822,1.45867,0.004489,0.004489,0.004489
169,11170.8,0.98612,0.60842,1.14202,0.96236,0.97611,0.98995,0.65358,1.31603,0.48214,1.46072,0.004456,0.004456,0.004456
170,11237.2,0.98418,0.6033,1.13626,0.9688,0.96928,0.98677,0.65045,1.31739,0.48415,1.46251,0.004423,0.004423,0.004423
171,11303.5,0.99633,0.60969,1.14812,0.96479,0.9727,0.98669,0.65154,1.31811,0.48388,1.46708,0.00439,0.00439,0.00439
172,11369.7,0.99428,0.61456,1.1526,0.96293,0.97511,0.98666,0.65129,1.3173,0.48421,1.46841,0.004357,0.004357,0.004357
173,11435.8,0.98317,0.60395,1.14483,0.96284,0.97274,0.98662,0.65257,1.31923,0.48145,1.47039,0.004324,0.004324,0.004324
174,11501.8,0.99103,0.6105,1.14373,0.95626,0.97006,0.98646,0.6521,1.31719,0.48125,1.46928,0.004291,0.004291,0.004291
175,11568.2,0.97417,0.60503,1.14234,0.97278,0.95563,0.98732,0.65135,1.31758,0.48191,1.47397,0.004258,0.004258,0.004258
176,11634.1,0.973,0.61243,1.14109,0.97626,0.96246,0.98774,0.65178,1.31531,0.48377,1.47328,0.004225,0.004225,0.004225
177,11700.4,0.97518,0.60212,1.1368,0.97233,0.95943,0.98623,0.65146,1.31641,0.48609,1.47435,0.004192,0.004192,0.004192
178,11766.7,0.97902,0.59947,1.13462,0.97546,0.94954,0.98592,0.65356,1.31753,0.49002,1.47779,0.004159,0.004159,0.004159
179,11832.9,0.97322,0.5952,1.13264,0.95313,0.96928,0.98566,0.65368,1.31816,0.49045,1.48018,0.004126,0.004126,0.004126
180,11899,0.97391,0.6014,1.13858,0.96269,0.96858,0.98555,0.65336,1.31539,0.48637,1.48184,0.004093,0.004093,0.004093
181,11965.3,0.97099,0.59628,1.13277,0.96254,0.96478,0.98538,0.6539,1.31509,0.48593,1.48338,0.00406,0.00406,0.00406
182,12031.2,0.96198,0.59447,1.13723,0.96575,0.96246,0.98677,0.65303,1.31512,0.4872,1.48362,0.004027,0.004027,0.004027
